x,y,z
4,23,51.935219999999994
4,24,53.643359999999994
4,25,55.351499999999994
4,26,57.05963999999999
4,27,58.767779999999995
4,28,60.475919999999995
4,29,62.184059999999995
4,30,63.89219999999999
4,31,65.60033999999999
4,32,67.30848
4,33,69.01661999999999
4,34,70.72475999999999
4,35,72.43289999999999
4,36,74.14103999999998
4,37,75.84917999999999
4,38,77.55731999999999
4,39,79.26545999999999
4,40,80.97359999999999
4,41,82.68173999999999
4,42,84.38987999999999
4,43,86.09801999999999
4,44,87.80615999999999
4,45,89.51429999999999
4,46,91.22243999999999
4,47,92.93057999999999
4,48,94.63871999999999
4,49,96.34685999999999
5,1,17.484299999999998
5,2,19.2336
5,3,20.9829
5,4,22.7322
5,5,24.4815
5,6,26.2308
5,7,27.980099999999997
5,8,29.7294
5,9,31.4787
5,10,33.227999999999994
5,11,34.9773
5,12,36.72659999999999
5,13,38.475899999999996
5,14,40.225199999999994
5,15,41.97449999999999
5,16,43.7238
5,17,45.473099999999995
5,18,47.22239999999999
5,19,48.97169999999999
5,20,50.72099999999999
5,21,52.470299999999995
5,22,54.21959999999999
5,23,55.96889999999999
5,24,57.71819999999999
5,25,59.467499999999994
5,26,61.21679999999999
5,27,62.96609999999999
5,28,64.71539999999999
5,29,66.4647
5,30,68.21399999999998
5,31,69.96329999999999
5,32,71.7126
5,33,73.46189999999999
5,34,75.21119999999999
5,35,76.9605
5,36,78.70979999999999
5,37,80.45909999999999
5,38,82.20839999999998
5,39,83.95769999999999
5,40,85.707
5,41,87.4563
5,42,89.20559999999999
5,43,90.95489999999998
5,44,92.70419999999999
5,45,94.45349999999999
5,46,96.2028
5,47,97.9521
5,48,99.70139999999998
5,49,101.45069999999998
6,1,20.61246
6,2,22.402919999999998
6,3,24.193379999999998
6,4,25.98384
6,5,27.774299999999997
6,6,29.564759999999996
6,7,31.35522
6,8,33.14568
6,9,34.93613999999999
6,10,36.72659999999999
6,11,38.517059999999994
6,12,40.30751999999999
6,13,42.09798
6,14,43.888439999999996
6,15,45.67889999999999
6,16,47.469359999999995
6,17,49.25981999999999
6,18,51.050279999999994
6,19,52.84074
6,20,54.63119999999999
6,21,56.42165999999999
6,22,58.21211999999999
6,23,60.002579999999995
6,24,61.79303999999999
6,25,63.583499999999994
6,26,65.37396
6,27,67.16441999999999
6,28,68.95487999999999
6,29,70.74534
6,30,72.5358
6,31,74.32625999999999
6,32,76.11672
6,33,77.90718
6,34,79.69763999999999
6,35,81.4881
6,36,83.27855999999998
6,37,85.06901999999998
6,38,86.85947999999999
6,39,88.64993999999999
6,40,90.44039999999998
6,41,92.23085999999999
6,42,94.02131999999999
6,43,95.81177999999998
6,44,97.60224
6,45,99.39269999999999
6,46,101.18316
6,47,102.97362
6,48,104.76407999999998
6,49,106.55453999999999
7,1,23.74062
7,2,25.572239999999997
7,3,27.403859999999998
7,4,29.23548
7,5,31.067099999999996
7,6,32.89872
7,7,34.73034
7,8,36.56196
7,9,38.39357999999999
7,10,40.225199999999994
7,11,42.056819999999995
7,12,43.888439999999996
7,13,45.72006
7,14,47.55168
